"","Date","Open","Close","Gibanje"
"1045",2012-05-09,12921.81,12835.06,0
"1046",2012-05-08,13000.73,12932.09,0
"1047",2012-05-07,13035.85,13008.53,0
"1048",2012-05-04,13204.62,13038.27,0
"1049",2012-05-03,13267.59,13206.59,0
"1050",2012-05-02,13278.11,13268.57,0
"1051",2012-05-01,13214.16,13279.32,1
"1052",2012-04-30,13228.31,13213.63,0
"1053",2012-04-27,13204.7,13228.31,1
"1054",2012-04-26,13090.11,13204.62,1
"1055",2012-04-25,12997.69,13090.72,1
"1056",2012-04-24,12927.77,13001.56,1
"1057",2012-04-23,13028.2,12927.17,0
"1058",2012-04-20,12964.48,13029.26,1
"1059",2012-04-19,13028.73,12964.1,0
"1060",2012-04-18,13114.56,13032.75,0
"1061",2012-04-17,12921.79,13115.54,1
"1062",2012-04-16,12850.88,12921.41,1
"1063",2012-04-13,12986.2,12849.59,0
"1064",2012-04-12,12806.45,12986.58,1
"1065",2012-04-11,12716.92,12805.39,1
"1066",2012-04-10,12929.44,12715.93,0
"1067",2012-04-09,13057.57,12929.59,0
"1068",2012-04-05,13067.18,13060.14,0
"1069",2012-04-04,13198.19,13074.75,0
"1070",2012-04-03,13258.96,13199.55,0
"1071",2012-04-02,13211.36,13264.49,1
"1072",2012-03-30,13147.94,13212.04,1
"1073",2012-03-29,13125.99,13145.82,1
"1074",2012-03-28,13195.39,13126.21,0
"1075",2012-03-27,13242.09,13197.73,0
"1076",2012-03-26,13082.62,13241.63,1
"1077",2012-03-23,13045.99,13080.73,1
"1078",2012-03-22,13124.4,13046.14,0
"1079",2012-03-21,13170.79,13124.62,0
"1080",2012-03-20,13238.45,13170.19,0
"1081",2012-03-19,13231.94,13239.13,1
"1082",2012-03-16,13253.51,13232.62,0
"1083",2012-03-15,13192.97,13252.76,1
"1084",2012-03-14,13177.15,13194.1,1
"1085",2012-03-13,12953.2,13177.68,1
"1086",2012-03-12,12920.58,12959.71,1
"1087",2012-03-09,12908.62,12922.02,1
"1088",2012-03-08,12835.53,12907.94,1
"1089",2012-03-07,12756.12,12837.33,1
"1090",2012-03-06,12958.65,12759.15,0
"1091",2012-03-05,12977.34,12962.81,0
